PLAZO;PRESTAMOS_ANTERIORES;SCORE_VERAZ;ESTADO_CIVIL;DEUDA_SIST_FIN;INGRESOS_PERSONALES;dias_mora
12;1;714.0;Soltero;16865.6086;93939.62637;0
18;1;864.0;DIVORCIADO;91754.01067;150271.5011;0
15;2;750.0;CASADO;24871.29151;111781.0854;0
48;3;746.0;CASADO;73990.22118;103845.9245;0
9;10;748.0;CASADO;30411.646380000002;88202.9623;0
48;3;525.0;CASADO;176667.2557;137344.2802;0
30;7;739.0;Soltero;85291.48592;137701.5184;0
24;1;916.0;CASADO;14244.55305;65744.09098;0
30;6;889.0;Soltero;62112.590789999995;149614.2698;0
12;1;728.0;CASADO;151961.2028;259614.8112;0
36;7;833.0;DIVORCIADO;162470.0112;149387.5511;0
36;1;349.0;CASADO;126240.4898;321573.3001;0
40;2;;;107224.4668;317363.6026;0
48;1;;DIVORCIADO;8811.055247;46013.288510000006;0
12;1;725.0;CASADO;19286.42093;248178.0561;0
48;6;494.0;CASADO;184997.0427;291721.8332;0
25;2;664.0;Soltero;39201.836489999994;173076.5408;0
24;4;818.0;Soltero;391766.6428;264301.0519;0
12;2;700.0;Soltero;18600.0;125000.0;0
24;3;701.0;Soltero;18871.36493;119137.4049;0
48;2;741.0;Soltero;19004.92514;84859.20062;0
36;1;791.0;Soltero;23827.48097;66716.94672;0
36;1;236.0;CASADO;131116.5055;155054.7887;0
